Year,Total,"Newspaper
publishers","Broadcast
television","Digital-
native","Radio
broadcasting","Cable
television"
2008,114260,71070,28390,7400,4570,2830
2009,104490,60770,28040,8090,4330,3260
2010,98680,55260,28640,8090,4100,2590
2011,97350,54050,28050,9520,3540,2190
2012,95770,51430,27830,10750,3610,2150
2013,92240,48920,25650,11250,3700,2720
2014,89820,46310,26300,11180,3820,2210
2015,90400,44120,28430,11710,3380,2760
2016,89220,42450,28190,12830,3190,2560
2017,87630,39210,28900,13260,3320,2940
2018,86100,37900,28670,13470,3370,2690
2019,87510,34950,30120,16090,3530,2820
2020,84640,30820,29700,18030,3360,2730
