Country,Total Deaths
Argentina,130472
Bangladesh,29445
Belgium,33814
Brazil,699276
Bulgaria,38228
Canada,51720
Chile,64273
China,101056
Colombia,142339
Czechia,42491
Ecuador,36014
France,166176
Germany,168935
Greece,34779
Hungary,48762
India,530779
Indonesia,160941
Iran,144933
Iraq,25375
Italy,188322
Japan,72997
Malaysia,36967
Mexico,333188
Pakistan,30644
Peru,219539
Phillipines,66188
Poland,119010
Portugal,26266
Romania,67736
Russia,388478
South Africa,102595
South Korea,34093
Spain,119479
Thailand,33918
Tunusia,29341
Turkey,101492
Ukraine,119283
United Kingdom,220721
United States,1123836
Vietnam,43186
